id,cause_of_death,dead_or_missing,route,year,month
1125,drowning or exhaustion,1,Eastern Mediterranean Route,2008,12
1126,malicious intent,1,Eastern Mediterranean Route,2008,12
1127,drowning or exhaustion,3,Western African Route,2008,11
1128,unknown,4,Central Mediterranean Route,2008,11
1129,unknown,2,,2008,11
1130,drowning or exhaustion,2,Eastern Mediterranean Route,2008,11
1131,drowning or exhaustion,21,,2008,11
1132,unknown,6,,2008,11
1133,drowning or exhaustion,1,Western African Route,2008,11
1134,drowning or exhaustion,1,Central Mediterranean Route,2008,11
1135,unknown,3,Western African Route,2008,11
1136,unknown,1,Western African Route,2008,11
1137,unknown,5,Central Mediterranean Route,2008,11
1138,unknown,13,Central Mediterranean Route,2008,11
1139,drowning or exhaustion,5,Western African Route,2008,11
1140,unknown,11,Western African Route,2008,11
1141,drowning or exhaustion,3,Western African Route,2008,10
1142,unknown,3,Western African Route,2008,10
1143,drowning or exhaustion,2,Eastern Mediterranean Route,2008,10
1144,unknown,200,,2008,10
1145,authorities related death,1,Eastern Mediterranean Route,2008,10
1146,unknown,1,,2008,10
1147,drowning or exhaustion,1,Central Mediterranean Route,2008,10
1148,drowning or exhaustion,3,,2008,10
1149,authorities related death,1,,2008,10
1150,malicious intent,1,,2008,10
1151,unknown,1,Western African Route,2008,10
1152,drowning or exhaustion,2,Circular Route from Greece and Albania,2008,10
1153,unknown,5,,2008,10
1154,suicide,1,,2008,10
1155,unknown,1,Western African Route,2008,10
1156,drowning or exhaustion,1,Central Mediterranean Route,2008,10
1157,unknown,1,Western African Route,2008,10
1158,drowning or exhaustion,1,,2008,10
1159,authorities related death,1,,2008,10
1160,violent accidental death,1,,2008,10
1161,unknown,1,Western African Route,2008,10
1162,drowning or exhaustion,23,,2008,10
1163,unknown,49,Western Mediterranean Route,2008,10
1164,suicide,1,,2008,10
1165,drowning or exhaustion,3,Central Mediterranean Route,2008,10
1166,drowning or exhaustion,15,Western Mediterranean Route,2008,10
1167,unknown,18,,2008,10
1168,drowning or exhaustion,15,Central Mediterranean Route,2008,10
1169,violent accidental death,2,,2008,10
1170,violent accidental death,18,,2008,10
1171,violent accidental death,1,,2008,10
1172,drowning or exhaustion,47,Central Mediterranean Route,2008,10
1173,unknown,1,Western Mediterranean Route,2008,10
1174,unknown,2,Western Mediterranean Route,2008,10
1175,unknown,6,Central Mediterranean Route,2008,1
1176,authorities related death,2,,2008,1
1177,drowning or exhaustion,1,Western African Route,2008,1
1178,unknown,1,,2008,1
1179,drowning or exhaustion,17,Western Mediterranean Route,2008,1
1180,unknown,1,Central Mediterranean Route,2008,1
1181,drowning or exhaustion,2,Western Mediterranean Route,2008,1
1182,drowning or exhaustion,8,Western Mediterranean Route,2008,1
1183,violent accidental death,1,,2008,1
1184,violent accidental death,1,,2008,1
1185,drowning or exhaustion,1,Eastern Mediterranean Route,2008,1
1186,unknown,8,,2008,1
1187,unknown,3,Western African Route,2008,1
1188,drowning or exhaustion,1,Central Mediterranean Route,2008,1
1189,drowning or exhaustion,1,Central Mediterranean Route,2008,1
1190,unknown,1,Western Mediterranean Route,2008,1
1191,drowning or exhaustion,1,Eastern Mediterranean Route,2008,1
1192,drowning or exhaustion,19,Eastern Mediterranean Route,2008,1
1193,suicide,1,,2008,1
1194,unknown,14,Western African Route,2008,1
1195,unknown,4,Western African Route,2008,1
1196,drowning or exhaustion,12,Central Mediterranean Route,2008,1
1197,drowning or exhaustion,13,Central Mediterranean Route,2008,1
1198,drowning or exhaustion,1,,2008,1
1199,violent accidental death,1,,2008,1
1200,malicious intent,2,,2008,1
1201,drowning or exhaustion,75,Central Mediterranean Route,2008,1
1202,drowning or exhaustion,2,Central Mediterranean Route,2008,1
1203,drowning or exhaustion,37,,2008,1
1204,drowning or exhaustion,13,Eastern Mediterranean Route,2008,1
1205,unknown,51,,2008,1
1206,drowning or exhaustion,6,Central Mediterranean Route,2008,1
1207,drowning or exhaustion,6,Western Mediterranean Route,2008,1
1208,drowning or exhaustion,3,,2008,1
1209,drowning or exhaustion,45,,2008,1
1210,violent accidental death,1,,2008,1
1211,suicide,1,,2008,1
1212,suicide,1,,2008,1
1213,drowning or exhaustion,4,Western African Route,2008,1
1214,malicious intent,7,Western Mediterranean Route,2008,1
1215,suicide,1,,2008,1
1216,drowning or exhaustion,1,Western Mediterranean Route,2008,1
1217,drowning or exhaustion,1,Western Mediterranean Route,2008,1
1218,unknown,4,Western Mediterranean Route,2008,1
1219,drowning or exhaustion,1,Western Mediterranean Route,2008,1
1220,unknown,3,Western Mediterranean Route,2008,1
1221,unknown,3,Western Mediterranean Route,2008,1
1222,drowning or exhaustion,6,Eastern Mediterranean Route,2008,1
1223,drowning or exhaustion,1,,2008,1
1224,drowning or exhaustion,1,,2008,1
1225,unknown,1,Central Mediterranean Route,2007,9
1226,unknown,16,Eastern Mediterranean Route,2007,9
1227,drowning or exhaustion,1,Western Mediterranean Route,2007,9
1228,drowning or exhaustion,1,Western Mediterranean Route,2007,9
1229,malicious intent,1,Western Mediterranean Route,2007,9
1230,drowning or exhaustion,3,Western Mediterranean Route,2007,9
1231,drowning or exhaustion,2,Eastern Mediterranean Route,2007,9
1232,drowning or exhaustion,2,Eastern Mediterranean Route,2007,9
1233,unknown,1,Western African Route,2007,9
1234,violent accidental death,1,Eastern Mediterranean Route,2007,9
1235,unknown,1,,2007,9
1236,suicide,1,Western Mediterranean Route,2007,9
1237,unknown,5,Western Mediterranean Route,2007,9
1238,unknown,1,,2007,9
1239,drowning or exhaustion,6,Western Mediterranean Route,2007,9
1240,drowning or exhaustion,1,Western Mediterranean Route,2007,9
1241,unknown,8,,2007,9
1242,drowning or exhaustion,1,Central Mediterranean Route,2007,9
1243,drowning or exhaustion,8,Central Mediterranean Route,2007,9
1244,drowning or exhaustion,3,,2007,9
1245,unknown,19,,2007,9
1246,drowning or exhaustion,50,Western African Route,2007,9
1247,unknown,1,Western African Route,2007,9
1248,drowning or exhaustion,58,Western African Route,2007,9
1249,unknown,5,Western African Route,2007,9
1250,unknown,1,Western Mediterranean Route,2007,9
1251,drowning or exhaustion,1,,2007,9
1252,drowning or exhaustion,2,Eastern Mediterranean Route,2007,9
1253,unknown,10,Western African Route,2007,9
1254,drowning or exhaustion,1,,2007,9
1255,drowning or exhaustion,2,Eastern Mediterranean Route,2007,9
1256,unknown,32,Western African Route,2007,9
1257,unknown,4,Central Mediterranean Route,2007,8
1258,drowning or exhaustion,25,Central Mediterranean Route,2007,8
1259,unknown,1,Eastern Mediterranean Route,2007,8
1260,suicide,1,,2007,8
1261,drowning or exhaustion,2,Central Mediterranean Route,2007,8
1262,drowning or exhaustion,45,Central Mediterranean Route,2007,8
1263,unknown,6,Central Mediterranean Route,2007,8
1264,violent accidental death,1,,2007,8
1265,drowning or exhaustion,3,Eastern Mediterranean Route,2007,8
1266,unknown,1,Western Mediterranean Route,2007,8
1267,drowning or exhaustion,14,Eastern Mediterranean Route,2007,8
1268,unknown,45,,2007,8
1269,drowning or exhaustion,11,Western African Route,2007,8
1270,drowning or exhaustion,1,Western African Route,2007,8
1271,drowning or exhaustion,13,Western African Route,2007,8
1272,drowning or exhaustion,6,Central Mediterranean Route,2007,8
1273,drowning or exhaustion,1,Western Mediterranean Route,2007,8
1274,authorities related death,1,,2007,8
1275,violent accidental death,1,Eastern Mediterranean Route,2007,8
1276,drowning or exhaustion,1,Western African Route,2007,8
1277,drowning or exhaustion,13,Western African Route,2007,8
1278,drowning or exhaustion,11,Eastern Mediterranean Route,2007,8
1279,unknown,14,Central Mediterranean Route,2007,8
1280,unknown,15,Central Mediterranean Route,2007,8
1281,violent accidental death,2,,2007,8
1282,drowning or exhaustion,19,,2007,8
1283,drowning or exhaustion,17,,2007,8
1284,unknown,1,Western African Route,2007,8
1285,drowning or exhaustion,1,Central Mediterranean Route,2007,8
1286,drowning or exhaustion,1,Western Mediterranean Route,2007,8
1287,drowning or exhaustion,86,Eastern Mediterranean Route,2007,8
1288,unknown,1,Central Mediterranean Route,2007,8
1289,unknown,11,Central Mediterranean Route,2007,8
1290,unknown,1,Central Mediterranean Route,2007,8
1291,authorities related death,1,,2007,8
1292,drowning or exhaustion,1,,2007,8
1293,drowning or exhaustion,3,,2007,8
1294,unknown,2,Eastern Mediterranean Route,2007,8
1295,unknown,1,Western Mediterranean Route,2007,8
1296,drowning or exhaustion,1,Central Mediterranean Route,2007,8
1297,drowning or exhaustion,1,Central Mediterranean Route,2007,8
1298,violent accidental death,1,Western Mediterranean Route,2007,8
1299,unknown,3,Central Mediterranean Route,2007,8
1300,unknown,3,Western African Route,2007,8
1301,drowning or exhaustion,1,Eastern Mediterranean Route,2007,8
1302,authorities related death,2,,2007,7
1303,drowning or exhaustion,20,,2007,7
1304,unknown,4,,2007,7
1305,drowning or exhaustion,8,Central Mediterranean Route,2007,7
1306,unknown,25,Central Mediterranean Route,2007,7
1307,unknown,1,Central Mediterranean Route,2007,7
1308,unknown,1,Western Mediterranean Route,2007,7
1309,unknown,3,,2007,7
1310,drowning or exhaustion,9,Central Mediterranean Route,2007,7
1311,unknown,1,Central Mediterranean Route,2007,7
1312,drowning or exhaustion,29,,2007,7
1313,unknown,2,,2007,7
1314,authorities related death,1,,2007,7
1315,drowning or exhaustion,3,Central Mediterranean Route,2007,7
1316,unknown,42,,2007,7
1317,drowning or exhaustion,2,,2007,7
1318,unknown,3,Central Mediterranean Route,2007,7
1319,drowning or exhaustion,52,Western African Route,2007,7
1320,unknown,3,Western African Route,2007,7
1321,drowning or exhaustion,16,Central Mediterranean Route,2007,7
1322,drowning or exhaustion,4,Central Mediterranean Route,2007,7
1323,drowning or exhaustion,12,Central Mediterranean Route,2007,7
1324,unknown,1,Western African Route,2007,7
1325,drowning or exhaustion,34,Central Mediterranean Route,2007,7
1326,drowning or exhaustion,3,,2007,7
1327,unknown,1,Eastern Mediterranean Route,2007,7
1328,suicide,1,,2007,7
1329,drowning or exhaustion,52,Western African Route,2007,7
1330,drowning or exhaustion,10,Western African Route,2007,7
1331,violent accidental death,1,Western Mediterranean Route,2007,7
1332,drowning or exhaustion,1,Central Mediterranean Route,2007,7
1333,violent accidental death,1,,2007,7
1334,drowning or exhaustion,1,,2007,7
1335,unknown,1,Western Mediterranean Route,2007,7
1336,drowning or exhaustion,1,Central Mediterranean Route,2007,7
1337,unknown,2,Western African Route,2007,7
1338,unknown,20,Central Mediterranean Route,2007,7
1339,unknown,4,Western Mediterranean Route,2007,7
1340,drowning or exhaustion,11,Central Mediterranean Route,2007,6
1341,drowning or exhaustion,8,,2007,6
1342,drowning or exhaustion,1,Central Mediterranean Route,2007,6
1343,unknown,4,Central Mediterranean Route,2007,6
1344,suicide,1,,2007,6
1345,drowning or exhaustion,1,Central Mediterranean Route,2007,6
1346,unknown,1,Central Mediterranean Route,2007,6
1347,drowning or exhaustion,3,Central Mediterranean Route,2007,6
1348,unknown,1,Western African Route,2007,6
1349,suicide,1,,2007,6
1350,drowning or exhaustion,2,Central Mediterranean Route,2007,6
1351,drowning or exhaustion,1,Central Mediterranean Route,2007,6
1352,unknown,3,Central Mediterranean Route,2007,6
1353,drowning or exhaustion,20,Central Mediterranean Route,2007,6
1354,unknown,4,Central Mediterranean Route,2007,6
1355,drowning or exhaustion,22,Central Mediterranean Route,2007,6
1356,drowning or exhaustion,8,Central Mediterranean Route,2007,6
1357,unknown,1,Central Mediterranean Route,2007,6
1358,drowning or exhaustion,14,Central Mediterranean Route,2007,6
1359,unknown,1,,2007,6
1360,unknown,1,Central Mediterranean Route,2007,6
1361,drowning or exhaustion,1,,2007,6
1362,drowning or exhaustion,1,,2007,6
1363,unknown,1,,2007,6
1364,unknown,25,Central Mediterranean Route,2007,6
1365,unknown,2,Eastern Mediterranean Route,2007,6
1366,violent accidental death,1,,2007,6
1367,unknown,2,Western African Route,2007,6
1368,unknown,28,Central Mediterranean Route,2007,6
1369,unknown,21,Central Mediterranean Route,2007,5
1370,unknown,8,Western African Route,2007,5
1371,drowning or exhaustion,1,Central Mediterranean Route,2007,5
1372,unknown,3,Western African Route,2007,5
1373,unknown,3,Western African Route,2007,5
1374,drowning or exhaustion,1,Central Mediterranean Route,2007,5
1375,unknown,57,Central Mediterranean Route,2007,5
1376,unknown,2,Central Mediterranean Route,2007,5
1377,suicide,1,,2007,5
1378,drowning or exhaustion,28,Central Mediterranean Route,2007,5
1379,unknown,13,Western Mediterranean Route,2007,5
1380,drowning or exhaustion,20,Central Mediterranean Route,2007,5
1381,unknown,1,Central Mediterranean Route,2007,5
1382,unknown,2,Western African Route,2007,5
1383,drowning or exhaustion,28,Central Mediterranean Route,2007,5
1384,drowning or exhaustion,1,Western African Route,2007,4
1385,unknown,3,Western African Route,2007,4
1386,drowning or exhaustion,3,Eastern Mediterranean Route,2007,4
1387,unknown,1,Western African Route,2007,4
1388,unknown,1,Western African Route,2007,4
1389,drowning or exhaustion,132,Western African Route,2007,4
1390,drowning or exhaustion,28,Western African Route,2007,4
1391,unknown,12,Western African Route,2007,4
1392,unknown,1,Western African Route,2007,4
1393,drowning or exhaustion,3,Central Mediterranean Route,2007,4
1394,drowning or exhaustion,2,Central Mediterranean Route,2007,4
1395,drowning or exhaustion,1,,2007,4
1396,drowning or exhaustion,10,,2007,4
1397,unknown,1,Western African Route,2007,4
1398,unknown,2,Western African Route,2007,4
1399,violent accidental death,1,,2007,4
1400,drowning or exhaustion,19,,2007,4
1401,drowning or exhaustion,1,Eastern Mediterranean Route,2007,4
1402,unknown,2,Western African Route,2007,4
1403,unknown,2,Western African Route,2007,4
1404,unknown,2,Western Mediterranean Route,2007,4
1405,drowning or exhaustion,7,,2007,3
1406,unknown,1,Central Mediterranean Route,2007,3
1407,suicide,1,,2007,3
1408,unknown,11,Eastern Mediterranean Route,2007,3
1409,suicide,1,,2007,3
1410,drowning or exhaustion,10,Western Mediterranean Route,2007,3
1411,unknown,4,Western African Route,2007,3
1412,drowning or exhaustion,2,Western Mediterranean Route,2007,3
1413,drowning or exhaustion,1,Western Mediterranean Route,2007,2
1414,drowning or exhaustion,19,Central Mediterranean Route,2007,2
1415,drowning or exhaustion,24,Eastern Mediterranean Route,2007,2
1416,unknown,1,Western African Route,2007,2
1417,drowning or exhaustion,40,Western African Route,2007,2
1418,unknown,1,Western Mediterranean Route,2007,2
1419,drowning or exhaustion,4,Western Mediterranean Route,2007,2
1420,suicide,1,,2007,2
1421,drowning or exhaustion,17,Eastern Mediterranean Route,2007,2
1422,drowning or exhaustion,9,Western Mediterranean Route,2007,12
1423,drowning or exhaustion,8,Western Mediterranean Route,2007,12
1424,suicide,1,,2007,12
1425,suicide,1,,2007,12
1426,drowning or exhaustion,1,Western Mediterranean Route,2007,12
1427,drowning or exhaustion,1,Eastern Mediterranean Route,2007,12
1428,unknown,5,Central Mediterranean Route,2007,12
1429,unknown,2,Western Mediterranean Route,2007,12
1430,suicide,1,,2007,12
1431,unknown,1,Eastern Mediterranean Route,2007,12
1432,unknown,1,Eastern Mediterranean Route,2007,12
1433,drowning or exhaustion,8,Eastern Mediterranean Route,2007,12
1434,violent accidental death,1,,2007,12
1435,drowning or exhaustion,7,Western Mediterranean Route,2007,12
1436,unknown,40,Western African Route,2007,12
1437,unknown,50,Western African Route,2007,12
1438,drowning or exhaustion,1,Western Mediterranean Route,2007,12
1439,unknown,50,Eastern Mediterranean Route,2007,12
1440,unknown,1,Western African Route,2007,12
1441,unknown,1,Eastern Mediterranean Route,2007,12
1442,unknown,3,Western African Route,2007,12
1443,unknown,2,Central Mediterranean Route,2007,12
1444,unknown,10,,2007,12
1445,unknown,12,Western Mediterranean Route,2007,12
1446,unknown,2,Western African Route,2007,11
1447,unknown,2,Western African Route,2007,11
1448,drowning or exhaustion,1,Central Mediterranean Route,2007,11
1449,suicide,1,,2007,11
1450,authorities related death,1,,2007,11
1451,authorities related death,1,,2007,11
1452,drowning or exhaustion,36,Western Mediterranean Route,2007,11
1453,drowning or exhaustion,1,Western Mediterranean Route,2007,11
1454,unknown,58,Western African Route,2007,11
1455,suicide,1,,2007,11
1456,unknown,5,Western African Route,2007,11
1457,unknown,3,Western Mediterranean Route,2007,11
1458,authorities related death,1,,2007,11
1459,drowning or exhaustion,56,Western African Route,2007,11
1460,unknown,1,Central Mediterranean Route,2007,11
1461,suicide,1,,2007,11
1462,suicide,1,,2007,11
1463,drowning or exhaustion,17,Central Mediterranean Route,2007,10
1464,drowning or exhaustion,25,Apulia and Calabria Route,2007,10
1465,unknown,57,Western African Route,2007,10
1466,unknown,150,Western African Route,2007,10
1467,unknown,17,Eastern Mediterranean Route,2007,10
1468,suicide,10,Western African Route,2007,10
1469,suicide,1,,2007,10
1470,unknown,49,Western African Route,2007,10
1471,unknown,3,Central Mediterranean Route,2007,10
1472,unknown,1,Western Mediterranean Route,2007,10
1473,drowning or exhaustion,1,Western African Route,2007,10
1474,suicide,1,,2007,10
1475,authorities related death,1,,2007,10
1476,unknown,1,Central Mediterranean Route,2007,10
1477,unknown,3,Western Mediterranean Route,2007,10
1478,suicide,1,,2007,10
1479,unknown,1,Western Mediterranean Route,2007,10
1480,suicide,1,,2007,1
1481,suicide,1,,2007,1
1482,unknown,2,Circular Route from Greece and Albania,2007,1
1483,unknown,1,,2007,1
1484,unknown,33,Central Mediterranean Route,2007,1
1485,drowning or exhaustion,7,Eastern Mediterranean Route,2007,1
1486,violent accidental death,1,,2007,1
1487,drowning or exhaustion,1,,2007,1
1488,drowning or exhaustion,50,Western African Route,2007,1
1489,drowning or exhaustion,1,Central Mediterranean Route,2007,1
1490,drowning or exhaustion,57,Central Mediterranean Route,2007,1
1491,unknown,1,Western Mediterranean Route,2007,1
1492,drowning or exhaustion,3,Central Mediterranean Route,2007,1
1493,drowning or exhaustion,15,Eastern Mediterranean Route,2007,1
1494,suicide,1,,2007,1
1495,drowning or exhaustion,30,Central Mediterranean Route,2007,1
1496,drowning or exhaustion,4,Central Mediterranean Route,2007,1
1497,unknown,21,,2007,1
1498,authorities related death,2,Western African Route,2007,1
1499,drowning or exhaustion,45,Central Mediterranean Route,2007,1
1500,drowning or exhaustion,2,Central Mediterranean Route,2007,1
1501,drowning or exhaustion,12,Central Mediterranean Route,2007,1
1502,unknown,1,Central Mediterranean Route,2007,1
1503,unknown,1,Central Mediterranean Route,2007,1
1504,drowning or exhaustion,21,Central Mediterranean Route,2007,1
1505,unknown,3,Western African Route,2007,1
1506,drowning or exhaustion,13,Western Mediterranean Route,2007,1
1507,unknown,1,Western African Route,2007,1
1508,unknown,1,Western African Route,2007,1
1509,unknown,1,Western African Route,2006,9
1510,drowning or exhaustion,9,Eastern Mediterranean Route,2006,9
1511,drowning or exhaustion,2,Central Mediterranean Route,2006,9
1512,drowning or exhaustion,25,Western Mediterranean Route,2006,9
1513,unknown,1,Western Mediterranean Route,2006,9
1514,unknown,11,,2006,9
1515,unknown,2,Western Mediterranean Route,2006,9
1516,drowning or exhaustion,1,Western African Route,2006,9
1517,drowning or exhaustion,13,Central Mediterranean Route,2006,9
1518,unknown,1,Western African Route,2006,9
1519,unknown,2,Apulia and Calabria Route,2006,9
1520,violent accidental death,2,Eastern Mediterranean Route,2006,9
1521,drowning or exhaustion,17,Central Mediterranean Route,2006,9
1522,unknown,1,Central Mediterranean Route,2006,9
1523,unknown,1,,2006,9
1524,drowning or exhaustion,11,Central Mediterranean Route,2006,9
1525,unknown,2,,2006,9
1526,drowning or exhaustion,1,Western African Route,2006,9
1527,unknown,1,Eastern Mediterranean Route,2006,9
1528,unknown,1,Central Mediterranean Route,2006,9
1529,unknown,1,Central Mediterranean Route,2006,9
1530,suicide,1,,2006,9
1531,unknown,8,Central Mediterranean Route,2006,9
1532,unknown,3,Western African Route,2006,8
1533,unknown,7,Eastern Mediterranean Route,2006,8
1534,unknown,2,Central Mediterranean Route,2006,8
1535,unknown,1,,2006,8
1536,unknown,10,Central Mediterranean Route,2006,8
1537,drowning or exhaustion,132,Western African Route,2006,8
1538,drowning or exhaustion,1,,2006,8
1539,drowning or exhaustion,20,Western African Route,2006,8
1540,drowning or exhaustion,1,Western African Route,2006,8
1541,unknown,8,Western African Route,2006,8
1542,unknown,1,Central Mediterranean Route,2006,8
1543,unknown,3,Central Mediterranean Route,2006,8
1544,drowning or exhaustion,1,Central Mediterranean Route,2006,8
1545,drowning or exhaustion,2,,2006,8
1546,unknown,1,Western Mediterranean Route,2006,8
1547,unknown,1,Western African Route,2006,8
1548,unknown,1,Central Mediterranean Route,2006,8
1549,drowning or exhaustion,28,Central Mediterranean Route,2006,8
1550,drowning or exhaustion,1,Central Mediterranean Route,2006,8
1551,drowning or exhaustion,30,Central Mediterranean Route,2006,8
1552,drowning or exhaustion,50,Central Mediterranean Route,2006,8
1553,unknown,24,,2006,8
1554,unknown,3,Western African Route,2006,8
1555,suicide,1,,2006,8
1556,drowning or exhaustion,1,Western African Route,2006,8
1557,drowning or exhaustion,28,Western African Route,2006,8
1558,drowning or exhaustion,2,Western Mediterranean Route,2006,8
1559,violent accidental death,18,Western African Route,2006,8
1560,violent accidental death,1,,2006,8
1561,suicide,1,,2006,8
1562,unknown,1,Western African Route,2006,8
1563,unknown,6,,2006,8
1564,drowning or exhaustion,28,Western African Route,2006,7
1565,drowning or exhaustion,2,Western African Route,2006,7
1566,drowning or exhaustion,1,Central Mediterranean Route,2006,7
1567,drowning or exhaustion,13,Central Mediterranean Route,2006,7
1568,drowning or exhaustion,17,Central Mediterranean Route,2006,7
1569,drowning or exhaustion,34,Western African Route,2006,7
1570,drowning or exhaustion,2,Western African Route,2006,7
1571,unknown,2,Western African Route,2006,7
1572,drowning or exhaustion,1,Western African Route,2006,7
1573,drowning or exhaustion,17,Central Mediterranean Route,2006,7
1574,drowning or exhaustion,1,,2006,7
1575,violent accidental death,2,Eastern Mediterranean Route,2006,7
1576,drowning or exhaustion,2,Western African Route,2006,7
1577,drowning or exhaustion,3,Central Mediterranean Route,2006,7
1578,suicide,4,Western African Route,2006,7
1579,drowning or exhaustion,4,Western African Route,2006,7
1580,unknown,2,Western African Route,2006,7
1581,drowning or exhaustion,2,Western African Route,2006,7
1582,unknown,1,Western African Route,2006,7
1583,drowning or exhaustion,1,Western African Route,2006,7
1584,suicide,1,Eastern Borders Route,2006,7
1585,authorities related death,1,,2006,7
1586,drowning or exhaustion,3,Western African Route,2006,7
1587,drowning or exhaustion,9,Western African Route,2006,7
1588,drowning or exhaustion,45,Western Mediterranean Route,2006,7
1589,unknown,3,Western Mediterranean Route,2006,7
1590,unknown,3,Apulia and Calabria Route,2006,7
1591,authorities related death,2,Central Mediterranean Route,2006,6
1592,drowning or exhaustion,16,Western Mediterranean Route,2006,6
1593,drowning or exhaustion,16,Western African Route,2006,6
1594,drowning or exhaustion,3,Western African Route,2006,6
1595,unknown,2,Central Mediterranean Route,2006,6
1596,unknown,2,Central Mediterranean Route,2006,6
1597,drowning or exhaustion,5,,2006,6
1598,drowning or exhaustion,1,,2006,6
1599,suicide,1,,2006,6
1600,drowning or exhaustion,1,Western African Route,2006,6
1601,drowning or exhaustion,1,Western African Route,2006,6
1602,unknown,11,Central Mediterranean Route,2006,6
1603,drowning or exhaustion,1,,2006,6
1604,malicious intent,1,,2006,6
1605,unknown,1,,2006,6
1606,drowning or exhaustion,3,Western African Route,2006,6
1607,drowning or exhaustion,1,Eastern Mediterranean Route,2006,6
1608,unknown,1,Western Mediterranean Route,2006,6
1609,unknown,14,Central Mediterranean Route,2006,6
1610,unknown,4,Central Mediterranean Route,2006,6
1611,unknown,7,Western African Route,2006,5
1612,violent accidental death,1,Eastern Mediterranean Route,2006,5
1613,violent accidental death,42,,2006,5
1614,unknown,7,Central Mediterranean Route,2006,5
1615,drowning or exhaustion,1,,2006,5
1616,drowning or exhaustion,37,Western African Route,2006,5
1617,suicide,1,,2006,5
1618,drowning or exhaustion,24,Western African Route,2006,5
1619,drowning or exhaustion,2,Central Mediterranean Route,2006,5
1620,unknown,1,Western African Route,2006,5
1621,suicide,1,,2006,5
1622,unknown,1,Western Mediterranean Route,2006,5
1623,drowning or exhaustion,9,Central Mediterranean Route,2006,5
1624,drowning or exhaustion,1,Central Mediterranean Route,2006,5
1625,unknown,2,,2006,5
1626,drowning or exhaustion,1,Western Mediterranean Route,2006,4
1627,drowning or exhaustion,25,Western Mediterranean Route,2006,4
1628,unknown,1,Western Mediterranean Route,2006,4
1629,violent accidental death,1,,2006,4
1630,authorities related death,1,,2006,4
1631,drowning or exhaustion,3,Eastern Mediterranean Route,2006,4
1632,unknown,2,Western African Route,2006,4
1633,drowning or exhaustion,15,Central Mediterranean Route,2006,4
1634,drowning or exhaustion,34,Western African Route,2006,4
1635,unknown,1,Western African Route,2006,4
1636,drowning or exhaustion,1,Eastern Mediterranean Route,2006,3
1637,unknown,1,Western Mediterranean Route,2006,3
1638,unknown,3,Western African Route,2006,3
1639,unknown,13,Western African Route,2006,3
1640,unknown,1,Western Mediterranean Route,2006,3
1641,drowning or exhaustion,26,Western African Route,2006,3
1642,unknown,12,Western African Route,2006,3
1643,unknown,1,Western Mediterranean Route,2006,3
1644,unknown,1,,2006,3
1645,unknown,1,Western African Route,2006,3
1646,suicide,1,,2006,3
1647,unknown,1,Western African Route,2006,3
1648,drowning or exhaustion,30,Western African Route,2006,3
1649,authorities related death,3,Western Mediterranean Route,2006,3
1650,unknown,3,Apulia and Calabria Route,2006,3
1651,drowning or exhaustion,45,Western African Route,2006,3
1652,drowning or exhaustion,4,Central Mediterranean Route,2006,3
1653,unknown,10,Central Mediterranean Route,2006,3
1654,drowning or exhaustion,1,Western African Route,2006,3
1655,unknown,28,Western Mediterranean Route,2006,2
1656,drowning or exhaustion,4,Western African Route,2006,2
1657,unknown,16,Western Mediterranean Route,2006,2
1658,unknown,13,,2006,2
1659,unknown,1,Eastern Mediterranean Route,2006,2
1660,drowning or exhaustion,1,,2006,2
1661,drowning or exhaustion,2,Western Mediterranean Route,2006,2
1662,drowning or exhaustion,2,Western Mediterranean Route,2006,2
1663,drowning or exhaustion,12,Western Mediterranean Route,2006,2
1664,drowning or exhaustion,1,Eastern Mediterranean Route,2006,2
1665,drowning or exhaustion,9,Central Mediterranean Route,2006,2
1666,drowning or exhaustion,1,Eastern Mediterranean Route,2006,2
1667,drowning or exhaustion,1,,2006,2
1668,drowning or exhaustion,102,Western African Route,2006,2
1669,drowning or exhaustion,1,Western African Route,2006,2
1670,drowning or exhaustion,8,Central Mediterranean Route,2006,2
1671,violent accidental death,5,,2006,2
1672,drowning or exhaustion,15,,2006,2
1673,drowning or exhaustion,2,Eastern Mediterranean Route,2006,2
1674,drowning or exhaustion,3,Western African Route,2006,12
1675,unknown,50,Eastern Mediterranean Route,2006,12
1676,suicide,1,,2006,12
1677,drowning or exhaustion,33,Central Mediterranean Route,2006,12
1678,drowning or exhaustion,20,Western African Route,2006,12
1679,unknown,9,Western African Route,2006,12
1680,authorities related death,1,Western Mediterranean Route,2006,12
1681,authorities related death,1,,2006,12
1682,drowning or exhaustion,1,Western Mediterranean Route,2006,12
1683,drowning or exhaustion,24,Western African Route,2006,12
1684,drowning or exhaustion,126,Western African Route,2006,12
1685,unknown,5,Western African Route,2006,12
1686,unknown,1,Central Mediterranean Route,2006,12
1687,drowning or exhaustion,1,Western African Route,2006,12
1688,unknown,3,Western African Route,2006,12
1689,drowning or exhaustion,10,Western Mediterranean Route,2006,12
1690,drowning or exhaustion,1,Western Mediterranean Route,2006,12
1691,drowning or exhaustion,1,,2006,12
1692,unknown,250,Central Mediterranean Route,2006,12
1693,unknown,2,,2006,12
1694,drowning or exhaustion,28,Western Mediterranean Route,2006,12
1695,authorities related death,1,Western Mediterranean Route,2006,12
1696,drowning or exhaustion,5,Western Mediterranean Route,2006,12
1697,suicide,1,,2006,12
